firstname;lastname;gender;email;birthdate;phone;address;zipcode;region;country;iban;Marital
Phoebe ; Castro;F;velit.dui.semper@aol.be;17/09/1977;04 83 58 41 46;8694 Purus, Rd.;65834;Poitou-Charentes;France;GT91741831212590161153512633;Divorced
Malik ; Richardson;M;vulputate.dui.nec@hotmail.com;01/03/1994;03 26 53 91 53;524-7325 Ultricies Avenue;1862;Picardie;France;HU63615934327425205416224425;Divorced
Declan ; Barry;M;amet.ultricies@aol.be;28/09/1986;05 26 32 97 59;P.O. Box 935, 7267 Tellus Rd.;51258;Pays de la Loire;France;KW2417954302435242947264585465;Divorced
Jackson ; Walters;F;augue.id@hotmail.be;03/06/1983;06 25 45 71 73;115-7268 Orci, Ave;97942;Auvergne;France;GR5011395749860334812047247;Divorced
Sophia ; Perez;F;turpis@yahoo.com;28/11/1993;06 35 14 60 54;Ap #384-2167 Dui, Ave;55421;Pays de la Loire;France;GT86815381140239165220088858;Divorced
Cally ; Shelton;X;suspendisse@google.fr;14/09/1978;06 21 34 32 07;528-6142 Tincidunt Ave;47111;Bourgogne;France;MK86243880258482461;Divorced
Nita ; Burt;F;nunc.commodo@outlook.com;22/10/2002;02 70 27 13 86;963-8689 Nunc Street;88415;Nord-Pas-de-Calais;France;MK25207811920946489;Married
Kylan ; Bray;M;metus.facilisis@icloud.fr;09/06/1979;05 77 76 34 68;602-8017 Proin Road;10138;Île-de-France;France;FR8025177588822421518878671;Married
Knox ; Edwards;X;neque.nullam@aol.fr;01/12/1998;05 45 52 75 22;909-6388 Euismod Rd.;16454;Poitou-Charentes;France;HU40651198448330208659710471;Single
Hedy ; Lynch;M;ipsum.primis@icloud.fr;22/05/1978;08 78 08 95 42;7475 Aliquam St.;54263;Alsace;France;AL38105245537217326060918182;Divorced
Cadman ; Carey;M;eu@google.com;19/04/1977;05 27 85 48 19;591-6032 Ridiculus Rd.;37281;Languedoc-Roussillon;France;SI56723906234837947;Married
Isaiah ; Everett;F;in.at@hotmail.com;23/11/1989;05 28 69 52 58;P.O. Box 517, 8999 Adipiscing Street;86182;Corse;France;HR9252810065444834362;Married
Dominic ; Patel;X;felis.donec.tempor@aol.com;28/12/1987;09 57 26 34 34;Ap #552-5028 Montes, Ave;57665;Centre;France;BA794962668158335885;Married
Kevin ; Sparks;F;lobortis.tellus.justo@google.be;02/05/1999;06 20 63 24 13;4405 Tristique Street;77342;Pays de la Loire;France;PK1772360213586228468841;Divorced
Joy ; Massey;M;mi.tempor@google.com;14/12/1988;02 35 62 59 38;P.O. Box 765, 7597 Id, Street;52878;Midi-Pyrenees;France;EE248415726771586156;Divorced
Dalton ; Haynes;F;non.luctus@hotmail.be;21/11/1998;05 43 28 48 84;236-3186 Sem Rd.;86801;Nord-Pas-de-Calais;France;DE12631145765094174471;Single
